2022-11-03 18:32:49,937 INFO    MainThread:4107 [wandb_setup.py:_flush():68] Configure stats pid to 4107
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_setup.py:_flush():68] Loading settings from /home/da2986/.config/wandb/settings
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_setup.py:_flush():68] Loading settings from /home/da2986/Summarization/src/training_scripts/xsum_random/wandb/settings
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src/training_scripts/xsum_random/generate_and_evaluate.py', 'program': '/home/da2986/Summarization/src/training_scripts/xsum_random/generate_and_evaluate.py'}
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_init.py:_log_setup():476] Logging user logs to /home/da2986/Summarization/src/training_scripts/xsum_random/wandb/run-20221103_183249-212yocq4/logs/debug.log
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_init.py:_log_setup():477] Logging internal logs to /home/da2986/Summarization/src/training_scripts/xsum_random/wandb/run-20221103_183249-212yocq4/logs/debug-internal.log
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_init.py:init():516] calling init triggers
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {'model_name': 'google/pegasus-large', 'batch_size': 2, 'max_length': 128, 'name': 'Eval_Pegasus_xsum_random_128', 'log_n_val_steps': 100, 'val_steps': 100, 'model_path': 'checkpoints/Pegasus_xsum_random_128/Pegasus_xsum_random_128_Final.pt', 'workers': 4, 'write_steps': 10, 'num_beams': 4, 'log': True}
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_init.py:init():569] starting backend
2022-11-03 18:32:49,938 INFO    MainThread:4107 [wandb_init.py:init():573] setting up manager
2022-11-03 18:32:49,941 INFO    MainThread:4107 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-03 18:32:49,944 INFO    MainThread:4107 [wandb_init.py:init():580] backend started and connected
2022-11-03 18:32:49,948 INFO    MainThread:4107 [wandb_init.py:init():658] updated telemetry
2022-11-03 18:32:50,075 INFO    MainThread:4107 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-03 18:33:01,275 INFO    MainThread:4107 [wandb_run.py:_on_init():2000] communicating current version
2022-11-03 18:33:01,347 INFO    MainThread:4107 [wandb_run.py:_on_init():2004] got version response 
2022-11-03 18:33:01,347 INFO    MainThread:4107 [wandb_init.py:init():728] starting run threads in backend
2022-11-03 18:33:06,360 INFO    MainThread:4107 [wandb_run.py:_console_start():1980] atexit reg
2022-11-03 18:33:06,360 INFO    MainThread:4107 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-03 18:33:06,361 INFO    MainThread:4107 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-03 18:33:06,361 INFO    MainThread:4107 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-03 18:33:06,363 INFO    MainThread:4107 [wandb_init.py:init():765] run started, returning control to user process
2022-11-03 18:35:42,917 WARNING MsgRouterThr:4107 [router.py:message_loop():77] message_loop has been closed
